frame,timestamp_s,shot,track_id,vehicle_class,risk,ground_x_px,ground_y_px
146,6.0833,0,35,caex,safe,554.5,499.0
147,6.125,0,35,caex,safe,549.0,498.0
148,6.1667,0,35,caex,safe,546.0,492.5
149,6.2083,0,35,caex,safe,542.5,496.0
150,6.25,0,35,caex,safe,538.1,493.0
151,6.2917,0,35,caex,safe,535.5,503.5
151,6.2917,0,36,caex,safe,1252.0,430.8
152,6.3333,0,35,caex,safe,531.9,503.0
152,6.3333,0,36,caex,safe,1248.0,433.0
153,6.375,0,35,caex,safe,532.0,503.0
153,6.375,0,36,caex,safe,1242.0,431.5
154,6.4167,0,35,caex,safe,528.7,503.9
154,6.4167,0,36,caex,safe,1236.0,431.5
155,6.4583,0,35,caex,safe,525.4,504.8
155,6.4583,0,36,caex,safe,1229.0,439.5
156,6.5,0,35,caex,safe,522.1,505.7
156,6.5,0,36,caex,safe,1225.0,440.5
157,6.5417,0,35,caex,safe,518.8,506.7
157,6.5417,0,36,caex,safe,1219.0,441.0
158,6.5833,0,35,caex,safe,515.5,507.6
158,6.5833,0,36,caex,safe,1211.0,434.5
159,6.625,0,35,caex,safe,512.1,508.5
159,6.625,0,36,caex,safe,1205.0,435.0
160,6.6667,0,35,caex,safe,508.8,509.4
160,6.6667,0,36,caex,safe,1193.0,435.0
161,6.7083,0,35,caex,safe,505.5,510.3
161,6.7083,0,36,caex,safe,1184.0,435.2
162,6.75,0,36,caex,safe,1174.0,434.5
163,6.7917,0,36,caex,safe,1163.0,434.8
164,6.8333,0,36,caex,safe,1152.0,436.0
165,6.875,0,36,caex,safe,1144.0,435.5
166,6.9167,0,36,caex,safe,1131.0,435.5
167,6.9583,0,36,caex,safe,1122.0,436.0
168,7.0,0,36,caex,safe,1112.0,436.0
169,7.0417,0,36,caex,safe,1104.0,436.0
170,7.0833,0,36,caex,safe,1096.0,437.0
171,7.125,0,36,caex,safe,1083.0,437.5
172,7.1667,0,36,caex,safe,1074.0,439.0
173,7.2083,0,36,caex,safe,1064.2,442.0
174,7.25,0,36,caex,safe,1054.2,444.8
175,7.2917,0,36,caex,safe,1057.0,444.5
176,7.3333,0,36,caex,safe,1048.0,446.0
177,7.375,0,36,caex,safe,1041.0,448.2
178,7.4167,0,36,caex,safe,1030.0,451.0
179,7.4583,0,36,caex,safe,1019.0,451.5
179,7.4583,0,37,caex,safe,57.8,579.5
180,7.5,0,36,caex,safe,1013.0,452.2
180,7.5,0,37,caex,safe,64.5,587.0
181,7.5417,0,36,caex,safe,1000.0,453.5
181,7.5417,0,37,caex,safe,74.7,590.0
182,7.5833,0,36,caex,safe,976.0,450.0
182,7.5833,0,37,caex,safe,85.7,601.5
183,7.625,0,36,caex,safe,983.0,454.5
183,7.625,0,37,caex,safe,95.4,604.0
184,7.6667,0,36,caex,safe,959.0,456.0
184,7.6667,0,37,caex,safe,103.6,605.0
185,7.7083,0,36,caex,safe,961.0,457.0
185,7.7083,0,37,caex,safe,112.9,605.0
186,7.75,0,36,caex,safe,939.0,451.5
186,7.75,0,37,caex,safe,129.4,607.0
187,7.7917,0,36,caex,safe,926.5,453.8
187,7.7917,0,37,caex,safe,138.6,610.0
188,7.8333,0,36,caex,safe,939.0,457.0
188,7.8333,0,37,caex,safe,144.5,609.0
189,7.875,0,36,caex,safe,938.2,452.2
189,7.875,0,37,caex,safe,158.2,610.0
190,7.9167,0,36,caex,safe,896.0,457.0
190,7.9167,0,37,caex,safe,169.1,615.5
191,7.9583,0,36,caex,safe,898.5,461.0
191,7.9583,0,37,caex,safe,177.8,610.5
192,8.0,0,36,caex,safe,889.0,466.0
192,8.0,0,37,caex,safe,191.5,613.5
193,8.0417,0,36,caex,safe,886.0,469.5
193,8.0417,0,37,caex,safe,205.2,612.5
194,8.0833,0,36,caex,safe,876.0,470.5
194,8.0833,0,37,caex,safe,234.0,611.5
195,8.125,0,36,caex,safe,866.0,470.5
195,8.125,0,37,caex,safe,246.1,614.0
196,8.1667,0,36,caex,safe,860.0,470.5
196,8.1667,0,37,caex,safe,278.4,613.0
197,8.2083,0,36,caex,safe,852.5,471.5
197,8.2083,0,37,caex,safe,301.8,621.0
198,8.25,0,36,caex,safe,852.0,471.5
198,8.25,0,37,caex,safe,328.6,631.0
199,8.2917,0,36,caex,safe,833.5,471.5
199,8.2917,0,37,caex,safe,343.1,633.5
200,8.3333,0,36,caex,safe,829.5,472.0
200,8.3333,0,37,caex,safe,373.8,623.5
201,8.375,0,36,caex,safe,823.0,472.5
201,8.375,0,37,caex,safe,404.1,627.0
202,8.4167,0,36,caex,safe,812.0,473.0
202,8.4167,0,37,caex,safe,441.2,621.0
203,8.4583,0,36,caex,safe,802.5,474.0
203,8.4583,0,37,caex,safe,465.5,630.0
204,8.5,0,36,caex,safe,795.0,474.5
204,8.5,0,37,caex,safe,503.5,633.5
205,8.5417,0,36,caex,safe,778.2,475.0
205,8.5417,0,37,caex,safe,549.1,623.0
206,8.5833,0,36,caex,safe,761.5,475.4
206,8.5833,0,37,caex,safe,583.1,632.0
207,8.625,0,36,caex,caution,744.7,475.9
207,8.625,0,37,caex,caution,600.0,630.5
208,8.6667,0,36,caex,caution,727.9,476.4
208,8.6667,0,37,caex,caution,647.5,629.0
209,8.7083,0,36,caex,caution,711.2,476.9
209,8.7083,0,37,caex,caution,679.9,633.0
210,8.75,0,36,caex,caution,694.4,477.3
210,8.75,0,37,caex,caution,719.0,640.0
211,8.7917,0,36,caex,caution,705.5,440.0
211,8.7917,0,37,caex,caution,774.0,629.0
212,8.8333,0,36,caex,caution,708.2,421.9
212,8.8333,0,37,caex,caution,841.5,620.5
213,8.875,0,36,caex,caution,710.9,403.8
213,8.875,0,37,caex,caution,877.5,616.5
214,8.9167,0,36,caex,caution,713.6,385.7
214,8.9167,0,37,caex,caution,912.0,615.0
215,8.9583,0,36,caex,caution,716.3,367.6
215,8.9583,0,37,caex,caution,947.5,616.0
216,9.0,0,36,caex,caution,719.1,349.5
216,9.0,0,37,caex,caution,1012.0,622.0
217,9.0417,0,36,caex,caution,721.8,331.4
217,9.0417,0,37,caex,caution,1045.0,623.5
218,9.0833,0,36,caex,caution,724.5,313.3
218,9.0833,0,37,caex,caution,1072.5,635.5
219,9.125,0,36,caex,caution,727.2,295.2
219,9.125,0,37,caex,caution,1077.0,627.0
220,9.1667,0,37,caex,caution,1094.0,628.0
220,9.1667,0,38,caex,safe,718.0,489.5
221,9.2083,0,37,caex,caution,1135.0,627.5
221,9.2083,0,38,caex,safe,699.0,491.0
222,9.25,0,37,caex,caution,1156.0,626.0
222,9.25,0,38,caex,safe,697.0,492.0
223,9.2917,0,37,caex,caution,1174.0,625.0
223,9.2917,0,38,caex,safe,691.0,503.0
224,9.3333,0,37,caex,caution,1192.0,617.0
224,9.3333,0,38,caex,safe,691.0,504.5
225,9.375,0,37,caex,caution,1214.0,620.0
225,9.375,0,38,caex,safe,680.5,500.0
226,9.4167,0,37,caex,caution,1230.0,603.0
226,9.4167,0,38,caex,safe,678.5,495.0
227,9.4583,0,37,caex,caution,1248.0,586.0
227,9.4583,0,38,caex,safe,671.5,495.5
